Period	Community	MemberNode
0	0	973
0	0	709
0	0	869
0	1	709
0	1	353
0	1	20
0	2	869
0	2	633
0	2	76
0	3	973
0	3	68
0	3	20
0	3	633
0	3	7
0	3	289
0	3	436
0	3	127
0	3	479
0	3	724
0	3	40
0	3	208
0	3	551
0	3	372
0	3	816
0	3	833
0	3	233
0	3	900
0	3	148
0	3	52
0	3	681
0	3	646
0	3	395
0	3	204
0	3	714
0	3	114
0	3	746
0	3	771
0	3	257
0	3	800
0	3	27
0	3	140
0	3	303
0	3	838
0	3	501
0	3	90
0	3	323
0	3	524
0	3	333
0	3	339
0	3	914
0	3	916
0	3	604
0	3	161
0	3	636
0	3	364
0	3	999
0	3	18
0	3	23
0	3	35
0	3	42
0	3	50
0	3	54
0	3	64
0	3	65
0	3	78
0	3	80
0	3	84
0	3	87
0	3	97
0	3	102
0	3	103
0	3	104
0	3	113
0	3	118
0	3	119
0	3	123
0	3	131
0	3	133
0	3	141
0	3	150
0	3	154
0	3	159
0	3	185
0	3	186
0	3	191
0	3	194
0	3	195
0	3	196
0	3	206
0	3	207
0	3	209
0	3	211
0	3	215
0	3	217
0	3	221
0	3	226
0	3	228
0	3	229
0	3	231
0	3	232
0	3	235
0	3	236
0	3	246
0	3	248
0	3	249
0	3	252
0	3	256
0	3	264
0	3	273
0	3	279
0	3	283
0	3	285
0	3	292
0	3	294
0	3	295
0	3	296
0	3	298
0	3	302
0	3	304
0	3	308
0	3	309
0	3	316
0	3	319
0	3	326
0	3	334
0	3	337
0	3	338
0	3	343
0	3	344
0	3	346
0	3	361
0	3	363
0	3	366
0	3	367
0	3	373
0	3	374
0	3	376
0	3	383
0	3	387
0	3	390
0	3	417
0	3	421
0	3	423
0	3	424
0	3	426
0	3	427
0	3	428
0	3	442
0	3	443
0	3	445
0	3	448
0	3	449
0	3	455
0	3	456
0	3	459
0	3	463
0	3	464
0	3	467
0	3	469
0	3	470
0	3	473
0	3	475
0	3	476
0	3	477
0	3	478
0	3	484
0	3	488
0	3	489
0	3	494
0	3	496
0	3	499
0	3	502
0	3	508
0	3	510
0	3	514
0	3	516
0	3	517
0	3	519
0	3	528
0	3	534
0	3	538
0	3	540
0	3	543
0	3	548
0	3	550
0	3	555
0	3	556
0	3	559
0	3	560
0	3	567
0	3	571
0	3	573
0	3	574
0	3	576
0	3	580
0	3	583
0	3	585
0	3	587
0	3	598
0	3	607
0	3	608
0	3	609
0	3	611
0	3	619
0	3	623
0	3	624
0	3	629
0	3	650
0	3	653
0	3	654
0	3	658
0	3	659
0	3	660
0	3	662
0	3	668
0	3	676
0	3	677
0	3	687
0	3	693
0	3	694
0	3	695
0	3	706
0	3	721
0	3	725
0	3	727
0	3	728
0	3	729
0	3	735
0	3	737
0	3	738
0	3	740
0	3	744
0	3	749
0	3	754
0	3	762
0	3	764
0	3	765
0	3	767
0	3	770
0	3	775
0	3	777
0	3	781
0	3	782
0	3	783
0	3	788
0	3	789
0	3	791
0	3	793
0	3	794
0	3	798
0	3	802
0	3	808
0	3	812
0	3	813
0	3	814
0	3	815
0	3	817
0	3	820
0	3	822
0	3	826
0	3	827
0	3	831
0	3	836
0	3	837
0	3	846
0	3	847
0	3	848
0	3	849
0	3	850
0	3	851
0	3	854
0	3	855
0	3	863
0	4	973
0	4	881
0	4	76
0	4	436
0	4	874
0	4	948
0	5	973
0	5	57
0	5	68
0	6	353
0	6	68
0	6	633
0	6	76
0	6	948
0	6	446
0	6	458
0	7	57
0	7	76
0	7	472
0	7	755
0	7	479
0	7	874
0	7	780
0	8	973
0	8	57
0	8	640
0	8	169
0	9	973
0	9	709
0	9	20
0	9	640
0	9	422
0	9	874
0	9	305
0	9	301
0	9	657
0	9	411
0	9	458
0	9	69
0	9	987
0	9	371
0	9	758
0	9	507
0	9	523
0	9	381
0	9	899
0	9	923
0	9	174
0	9	202
0	9	395
0	9	204
0	9	745
0	9	746
0	9	237
0	9	140
0	9	838
0	9	501
0	9	866
0	9	512
0	9	914
0	9	916
0	9	602
0	9	636
0	9	364
0	9	950
0	9	645
0	9	505
0	9	212
0	9	565
0	9	41
0	9	912
0	9	19
0	9	570
0	9	784
0	9	918
0	9	45
0	9	290
0	9	731
0	9	750
0	9	284
0	9	807
0	9	579
0	9	92
0	9	818
0	9	618
0	9	132
0	9	546
0	9	420
0	9	937
0	9	572
0	9	904
0	9	883
0	9	397
0	9	878
0	9	864
0	9	787
0	9	48
0	9	8
0	9	158
0	9	503
0	9	291
0	9	136
0	9	877
0	9	627
0	9	910
0	9	359
0	9	830
0	9	460
0	9	287
0	9	925
0	9	259
0	9	167
0	9	399
0	9	795
0	9	772
0	9	880
0	9	824
0	9	193
0	9	578
0	9	300
0	9	982
0	9	485
0	9	56
0	9	723
0	9	406
0	9	25
0	9	345
0	9	997
0	9	845
0	9	274
0	9	696
0	9	909
0	9	509
0	9	513
0	9	985
0	9	776
0	9	314
0	9	532
0	9	947
0	9	554
0	9	679
0	9	430
0	9	379
0	9	389
0	9	227
0	9	875
0	9	903
0	9	258
0	9	77
0	9	588
0	9	425
0	9	613
0	9	58
0	9	385
0	9	86
0	9	63
0	9	763
0	9	821
0	9	51
0	9	785
0	9	535
0	9	533
0	9	280
0	9	685
0	9	216
0	9	786
0	9	325
0	9	265
0	9	596
0	9	254
0	9	991
0	9	81
0	9	853
0	9	979
0	9	698
0	9	823
0	9	281
0	9	521
0	9	407
0	9	946
0	9	39
0	9	474
0	9	994
0	9	24
0	9	55
0	9	66
0	9	638
0	9	310
0	9	884
0	9	715
0	9	752
0	9	275
0	9	13
0	9	17
0	9	37
0	9	43
0	9	44
0	9	49
0	9	71
0	9	73
0	9	82
0	9	85
0	9	88
0	9	91
0	9	98
0	9	105
0	9	106
0	9	111
0	9	112
0	9	121
0	9	125
0	9	128
0	9	129
0	9	130
0	9	134
0	9	137
0	9	138
0	9	142
0	9	147
0	9	151
0	9	157
0	9	164
0	9	165
0	9	166
0	9	170
0	9	177
0	9	178
0	9	180
0	9	190
0	9	198
0	9	205
0	9	210
0	9	214
0	9	223
0	9	238
0	9	240
0	9	241
0	9	247
0	9	262
0	9	263
0	9	269
0	9	270
0	9	277
0	9	288
0	9	311
0	9	315
0	9	317
0	9	321
0	9	324
0	9	327
0	9	331
0	9	342
0	9	365
0	9	369
0	9	375
0	9	398
0	9	401
0	9	402
0	9	403
0	9	413
0	9	415
0	9	418
0	9	432
0	9	433
0	9	439
0	9	444
0	9	452
0	9	465
0	9	466
0	9	468
0	9	471
0	9	480
0	9	487
0	9	490
0	9	491
0	9	492
0	9	495
0	9	497
0	9	504
0	9	511
0	9	515
0	9	518
0	9	520
0	9	522
0	9	527
0	9	529
0	9	530
0	9	539
0	9	542
0	9	545
0	9	547
0	9	549
0	9	553
0	9	558
0	9	561
0	9	566
0	9	569
0	9	575
0	9	577
0	9	586
0	9	589
0	9	590
0	9	591
0	9	592
0	9	593
0	9	595
0	9	599
0	9	600
0	9	601
0	9	603
0	9	605
0	9	606
0	9	614
0	9	615
0	9	616
0	9	621
0	9	625
0	9	626
0	9	630
0	9	631
0	9	635
0	9	641
0	9	643
0	9	649
0	9	652
0	9	655
0	9	663
0	9	666
0	9	669
0	9	670
0	9	674
0	9	675
0	9	680
0	9	682
0	9	683
0	9	684
0	9	686
0	9	697
0	9	703
0	9	704
0	9	705
0	9	707
0	9	710
0	9	711
0	9	716
0	9	717
0	9	718
0	9	719
0	9	720
0	9	726
0	9	730
0	9	732
0	9	733
0	9	736
0	9	743
0	9	751
0	9	753
0	9	759
0	9	761
0	9	766
0	9	774
0	9	778
0	9	779
0	9	790
0	9	810
0	10	709
0	10	57
0	10	20
0	10	755
0	10	127
0	10	948
0	10	301
0	10	75
0	10	656
0	10	657
0	10	15
0	11	709
0	11	881
0	11	633
0	12	709
0	12	353
0	12	68
0	12	865
0	13	7
0	13	472
0	13	422
0	13	952
0	14	709
0	14	479
0	14	30
0	14	60
0	14	446
0	15	973
0	15	709
0	15	353
0	15	169
0	16	869
0	16	353
0	16	640
0	16	472
0	16	865
0	16	127
0	16	874
0	16	15
0	16	458
0	16	208
0	16	483
0	17	973
0	17	353
0	17	289
0	17	472
0	17	422
0	17	436
0	17	301
0	17	40
0	18	973
0	18	709
0	18	353
0	19	973
0	19	20
0	19	169
0	19	861
0	19	289
0	19	305
0	19	30
0	19	656
0	19	657
0	19	724
0	19	40
0	19	446
0	19	69
0	19	483
0	19	551
0	19	701
0	19	507
0	19	597
0	19	233
0	19	900
0	19	174
0	19	646
0	19	94
0	19	110
0	19	688
0	19	722
0	19	745
0	19	746
0	19	122
0	19	237
0	19	771
0	19	257
0	19	800
0	19	838
0	19	501
0	19	90
0	19	866
0	19	512
0	19	323
0	19	524
0	19	333
0	19	339
0	19	914
0	19	604
0	19	161
0	19	364
0	19	999
0	19	5
0	19	14
0	19	21
0	19	29
0	19	32
0	19	38
0	19	53
0	19	62
0	19	70
0	19	95
0	19	99
0	19	100
0	19	107
0	19	126
0	19	135
0	19	143
0	19	153
0	19	155
0	19	156
0	19	162
0	19	171
0	19	173
0	19	179
0	19	181
0	19	183
0	19	184
0	19	187
0	19	188
0	19	197
0	19	199
0	19	200
0	19	201
0	19	203
0	19	218
0	19	224
0	19	230
0	19	239
0	19	243
0	19	250
0	19	255
0	19	267
0	19	268
0	19	271
0	19	272
0	19	299
0	19	307
0	19	312
0	19	318
0	19	320
0	19	329
0	19	332
0	19	336
0	19	352
0	19	355
0	19	356
0	19	358
0	19	360
0	19	368
0	19	370
0	19	384
0	19	386
0	19	388
0	19	391
0	19	392
0	19	394
0	19	396
0	19	405
0	19	408
0	19	410
0	19	412
0	19	414
0	19	416
